path,name,extension,size_bytes,mtime_utc,is_text_candidate,is_binary_or_asset,is_package_manifest,path_score,path_reasons
Apex KB+SQLite FTS5BM25  Implementation Plan.md,Apex KB+SQLite FTS5BM25  Implementation Plan.md,.md,43330,2026-06-25T17:04:37Z,True,False,False,0,[]
Claude_Apex KB_SQLiteFTS5BM25_CC.md,Claude_Apex KB_SQLiteFTS5BM25_CC.md,.md,28127,2026-06-25T17:07:07Z,True,False,False,45,"[""filename-token:claude+45""]"
Claude_Apex KB_SQLiteFTS5BM25_CCv2.md,Claude_Apex KB_SQLiteFTS5BM25_CCv2.md,.md,40570,2026-06-25T17:13:53Z,True,False,False,45,"[""filename-token:claude+45""]"
Claude_Apex KB_SQLiteFTS5BM25_CCv3.md,Claude_Apex KB_SQLiteFTS5BM25_CCv3.md,.md,47117,2026-06-25T17:41:28Z,True,False,False,45,"[""filename-token:claude+45""]"
Claude_Apex KB_SQLiteFTS5BM25_CCv4AddOn.md,Claude_Apex KB_SQLiteFTS5BM25_CCv4AddOn.md,.md,7397,2026-06-25T18:10:06Z,True,False,False,45,"[""filename-token:claude+45""]"
Claude_Apex KB_SQLiteFTS5BM25_GPTv2.md,Claude_Apex KB_SQLiteFTS5BM25_GPTv2.md,.md,36206,2026-06-25T17:53:49Z,True,False,False,45,"[""filename-token:claude+45""]"
Claude_Apex KB_SQLiteFTS5BM25_Specia_CC.md,Claude_Apex KB_SQLiteFTS5BM25_Specia_CC.md,.md,3283,2026-06-25T18:09:29Z,True,False,False,45,"[""filename-token:claude+45""]"
DR_Apex KB  QueryRetrieval Integration_Final Patch Pack.md,DR_Apex KB  QueryRetrieval Integration_Final Patch Pack.md,.md,48654,2026-06-26T06:59:44Z,True,False,False,25,"[""filename-token:eval+25""]"
DR_PromptFinalization2ndTry_v1.md,DR_PromptFinalization2ndTry_v1.md,.md,21138,2026-06-25T18:24:51Z,True,False,False,45,"[""filename-token:prompt+45""]"
FB_DR_RetrievalINtegration_Claude.md,FB_DR_RetrievalINtegration_Claude.md,.md,29769,2026-06-26T07:26:58Z,True,False,False,70,"[""filename-token:claude+45"", ""filename-token:eval+25""]"
KB-Researchv2_gpt.md,KB-Researchv2_gpt.md,.md,21635,2026-06-25T14:50:31Z,True,False,False,20,"[""path-token:kb+20""]"
KB-Researchv3_gpt.md,KB-Researchv3_gpt.md,.md,24911,2026-06-25T15:30:35Z,True,False,False,20,"[""path-token:kb+20""]"
KB-Researchv3_gpt_FB_claude.md,KB-Researchv3_gpt_FB_claude.md,.md,41608,2026-06-25T16:34:11Z,True,False,False,65,"[""filename-token:claude+45"", ""path-token:kb+20""]"
research2_gem.md,research2_gem.md,.md,6832,2026-06-25T14:51:18Z,True,False,False,15,"[""path-token:research+15""]"
Updates_apex-kb.md,Updates_apex-kb.md,.md,14588,2026-06-25T07:27:34Z,True,False,False,0,[]
DeterministicResearch/Anotehr failed DRPromptdesign.md,Anotehr failed DRPromptdesign.md,.md,12928,2026-06-26T13:32:23Z,True,False,False,45,"[""filename-token:prompt+45""]"
DeterministicResearch/Anotehr failed DRPromptdesign2.md,Anotehr failed DRPromptdesign2.md,.md,12177,2026-06-26T13:32:50Z,True,False,False,45,"[""filename-token:prompt+45""]"
DeterministicResearch/Anotehr failed DRPromptdesign3.md,Anotehr failed DRPromptdesign3.md,.md,17508,2026-06-26T13:34:15Z,True,False,False,45,"[""filename-token:prompt+45""]"
DeterministicResearch/Anotehr failed DRPromptdesign4.md,Anotehr failed DRPromptdesign4.md,.md,38517,2026-06-26T14:34:50Z,True,False,False,45,"[""filename-token:prompt+45""]"
DeterministicResearch/Anotehr failed process.md,Anotehr failed process.md,.md,44193,2026-06-26T13:44:56Z,True,False,False,25,"[""filename-token:process+25""]"
DeterministicResearch/Apex Link Graph and Process-Flow Representability Audit.md,Apex Link Graph and Process-Flow Representability Audit.md,.md,18920,2026-06-26T11:35:45Z,True,False,False,25,"[""filename-token:process+25""]"
DeterministicResearch/Apex Phase 0 Corpus Intelligence Implementation Decision.md,Apex Phase 0 Corpus Intelligence Implementation Decision.md,.md,14608,2026-06-26T12:05:59Z,True,False,False,0,[]
DeterministicResearch/Apex_KB_Project_Resource_Index.machine-readable.yaml.md,Apex_KB_Project_Resource_Index.machine-readable.yaml.md,.md,51136,2026-06-26T14:23:23Z,True,False,False,0,[]
DeterministicResearch/Apex_KB_Project_Resource_Machine_Readable_Knowledge_Index.md,Apex_KB_Project_Resource_Machine_Readable_Knowledge_Index.md,.md,65401,2026-06-26T14:18:52Z,True,False,False,0,[]
DeterministicResearch/CLI_Process_GPT.md,CLI_Process_GPT.md,.md,9193,2026-06-26T11:20:55Z,True,False,False,25,"[""filename-token:process+25""]"
DeterministicResearch/deep-research-report (11).md,deep-research-report (11).md,.md,49041,2026-06-26T15:29:52Z,True,False,False,0,[]
DeterministicResearch/DRFailureClaude2.md,DRFailureClaude2.md,.md,19597,2026-06-26T15:25:10Z,True,False,False,45,"[""filename-token:claude+45""]"
DeterministicResearch/DRFailureClaude3.md,DRFailureClaude3.md,.md,6893,2026-06-26T15:25:38Z,True,False,False,45,"[""filename-token:claude+45""]"
DeterministicResearch/FBGPT_Claude1.md,FBGPT_Claude1.md,.md,17573,2026-06-26T10:34:02Z,True,False,False,45,"[""filename-token:claude+45""]"
DeterministicResearch/graph-summary.md,graph-summary.md,.md,2281,2026-06-26T11:35:27Z,True,False,False,0,[]
DeterministicResearch/link-graph.sample.json,link-graph.sample.json,.json,5436,2026-06-26T11:35:26Z,True,False,False,0,[]
DeterministicResearch/Markdown Structure Parser Spike for Apex KB Phase.md,Markdown Structure Parser Spike for Apex KB Phase.md,.md,15670,2026-06-26T11:26:43Z,True,False,False,0,[]
DeterministicResearch/markdown-parser-spike-report.md,markdown-parser-spike-report.md,.md,8200,2026-06-26T11:26:17Z,True,False,False,0,[]
DeterministicResearch/NewDRPrompt.md,NewDRPrompt.md,.md,38951,2026-06-26T14:50:39Z,True,False,False,45,"[""filename-token:prompt+45""]"
DeterministicResearch/Pre-LLM Tool Stack Installability and Value Audit.md,Pre-LLM Tool Stack Installability and Value Audit.md,.md,25944,2026-06-26T11:24:37Z,True,False,False,0,[]
DeterministicResearch/Pre-LLMCorbusMechanisms_GPT.md,Pre-LLMCorbusMechanisms_GPT.md,.md,31619,2026-06-26T10:34:26Z,True,False,False,0,[]
DeterministicResearch/Pre-LLMToolStack.md,Pre-LLMToolStack.md,.md,14156,2026-06-26T11:33:02Z,True,False,False,0,[]
DeterministicResearch/process-flow-graph-audit.md,process-flow-graph-audit.md,.md,7341,2026-06-26T11:35:29Z,True,False,False,25,"[""filename-token:process+25""]"
DeterministicResearch/PromptDesignFailures.md,PromptDesignFailures.md,.md,18091,2026-06-26T14:42:05Z,True,False,False,45,"[""filename-token:prompt+45""]"
DeterministicResearch/SourceIndex.md,SourceIndex.md,.md,31585,2026-06-26T14:09:12Z,True,False,False,0,[]
