repo_slug,root_path,total_files_seen,included_files,skipped_files,total_included_bytes,skill_entrypoint_count,package_manifest_count,reference_count,template_count,example_count,script_count,top_level_readme_present,likely_relevance
antigravity-awesome-skills-main,source-knowledge\ProjectRepos\antigravity-awesome-skills-main,16967,14176,2791,122344399,5525,21,3121,658,428,2127,True,"{""score"": 433785, ""label"": ""high"", ""reasons"": [""contains SKILL.md or skill entrypoint-like files"", ""contains prompt-related paths/files"", ""contains references"", ""large/noisy repo; avoid bulk import""]}"
apex-kb,source-knowledge\ProjectRepos\apex-kb,15,15,0,40787,1,2,6,5,2,0,False,"{""score"": 120, ""label"": ""high"", ""reasons"": [""contains SKILL.md or skill entrypoint-like files"", ""contains references""]}"
backlog-main,source-knowledge\ProjectRepos\backlog-main,947,877,70,3765539,0,0,8,5,6,292,False,"{""score"": 30, ""label"": ""low"", ""reasons"": [""contains prompt-related paths/files"", ""contains references"", ""large/noisy repo; avoid bulk import""]}"
ccpm-main,source-knowledge\ProjectRepos\ccpm-main,27,9,18,53468,1,0,6,0,0,0,True,"{""score"": 140, ""label"": ""high"", ""reasons"": [""contains SKILL.md or skill entrypoint-like files"", ""contains references""]}"
claude-skills-main,source-knowledge\ProjectRepos\claude-skills-main,554,537,17,4965180,66,2,369,9,1,7,True,"{""score"": 7575, ""label"": ""high"", ""reasons"": [""contains SKILL.md or skill entrypoint-like files"", ""contains prompt-related paths/files"", ""contains references"", ""large/noisy repo; avoid bulk import""]}"
claude-task-master-main,source-knowledge\ProjectRepos\claude-task-master-main,1214,1104,110,11220965,0,12,5,16,12,821,True,"{""score"": 135, ""label"": ""high"", ""reasons"": [""contains prompt-related paths/files"", ""contains references"", ""large/noisy repo; avoid bulk import""]}"
crewAI-main,source-knowledge\ProjectRepos\crewAI-main,17812,17790,22,171995163,3,10,322,33,133,1254,True,"{""score"": 14150, ""label"": ""high"", ""reasons"": [""contains SKILL.md or skill entrypoint-like files"", ""contains prompt-related paths/files"", ""contains references"", ""large/noisy repo; avoid bulk import""]}"
gsd-core-next,source-knowledge\ProjectRepos\gsd-core-next,2349,1315,1034,9872367,0,17,127,63,7,22,True,"{""score"": 2885, ""label"": ""high"", ""reasons"": [""contains prompt-related paths/files"", ""contains references"", ""large/noisy repo; avoid bulk import""]}"
llm-wiki,source-knowledge\ProjectRepos\llm-wiki,1,1,0,11985,0,0,0,0,0,0,False,"{""score"": 0, ""label"": ""low"", ""reasons"": [""limited direct skill-design signal""]}"
llm-wiki-main,source-knowledge\ProjectRepos\llm-wiki-main,54,35,19,119047,1,1,0,7,0,0,True,"{""score"": 110, ""label"": ""high"", ""reasons"": [""contains SKILL.md or skill entrypoint-like files""]}"
llm-wiki-skill-main,source-knowledge\ProjectRepos\llm-wiki-skill-main,49,42,7,300982,1,4,5,0,0,25,True,"{""score"": 135, ""label"": ""high"", ""reasons"": [""contains SKILL.md or skill entrypoint-like files"", ""contains references""]}"
planning-with-files-master,source-knowledge\ProjectRepos\planning-with-files-master,393,226,167,1593255,17,2,17,55,13,67,True,"{""score"": 1755, ""label"": ""high"", ""reasons"": [""contains SKILL.md or skill entrypoint-like files"", ""contains references""]}"
ProjectMapping&Apex,source-knowledge\ProjectRepos\ProjectMapping&Apex,3,3,0,19673,0,0,0,0,0,0,False,"{""score"": 0, ""label"": ""low"", ""reasons"": [""limited direct skill-design signal""]}"
skillcheck,source-knowledge\ProjectRepos\skillcheck,183,178,5,731563,14,1,3,7,0,96,True,"{""score"": 1515, ""label"": ""high"", ""reasons"": [""contains SKILL.md or skill entrypoint-like files"", ""contains prompt-related paths/files"", ""contains references""]}"
